community_1,community_2,cosine_similarity
EDM,gamemusic,0.47434164902525683
funk,hiphop,0.45584230583855173
EDM,folk,0.4472135954999579
country,folk,0.4242640687119285
EDM,hiphop,0.4008918628686365
folk,hiphop,0.35856858280031806
hiphop,rock,0.35856858280031806
gamemusic,hiphop,0.3380617018914066
EDM,funk,0.3198010745334156
gamemusic,trap,0.3162277660168379
hiphop,jpop,0.3144854510165755
EDM,jpop,0.294174202707276
folk,funk,0.2860387767736777
folk,gamemusic,0.282842712474619
gamemusic,rock,0.282842712474619
jpop,kpop,0.2773500981126146
funk,gamemusic,0.26967994498529685
folk,jpop,0.2631174057921088
funk,jpop,0.25087260300212727
EDM,trap,0.24999999999999994
gamemusic,jpop,0.2480694691784169
EDM,rock,0.22360679774997896
folk,popheads,0.2
folk,rock,0.2
funk,rock,0.19069251784911848
jpop,popheads,0.17541160386140586
jpop,rock,0.17541160386140586
EDM,country,0.15811388300841894
country,popheads,0.1414213562373095
hiphop,trap,0.13363062095621217
country,jpop,0.12403473458920845
hiphop,popheads,0.11952286093343936
kpop,trap,0.1178511301977579
EDM,kpop,0.1178511301977579
folk,trap,0.11180339887498948
rock,trap,0.11180339887498948
EDM,popheads,0.11180339887498948
funk,trap,0.10660035817780521
folk,kpop,0.10540925533894598
kpop,popheads,0.10540925533894598
jpop,trap,0.09805806756909201
funk,popheads,0.09534625892455924
hiphop,kpop,0.0
popheads,trap,0.0
popheads,rock,0.0
kpop,rock,0.0
classicalmusic,country,0.0
classicalmusic,folk,0.0
classicalmusic,funk,0.0
classicalmusic,gamemusic,0.0
classicalmusic,hiphop,0.0
classicalmusic,jpop,0.0
classicalmusic,kpop,0.0
country,trap,0.0
classicalmusic,popheads,0.0
classicalmusic,rock,0.0
gamemusic,popheads,0.0
gamemusic,kpop,0.0
classicalmusic,trap,0.0
country,funk,0.0
country,gamemusic,0.0
funk,kpop,0.0
country,hiphop,0.0
country,kpop,0.0
country,rock,0.0
EDM,classicalmusic,0.0
